;proceedings:ID;address:string;author:string[];booktitle:string;cite:string[];cite-label:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string;isbn:string[];isbn-type:string[];journal:string;key:string;mdate:date;note:string[];note-type:string;number:string;pages:string;publisher:string[];publisher-href:string;publtype:string;school:string;series:string[];series-href:string[];sub:string;sup:string[];title:string;url:string[];volume:string;year:int
1271;5888470;;;Australian Software Engineering Conference;;;;;http://www.computer.org/csdl/proceedings/aswec/2008/3100/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/4483171/proceeding;;;978-0-7695-3100-7;;;conf/aswec/2008;2019-10-16;;;;;IEEE Computer Society;;;;;;;;19th Australian Software Engineering Conference (ASWEC 2008), March 25-28, 2008, Perth, Australia;db/conf/aswec/aswec2008.html;;2008
22032;7218884;;;CaRR@WSDM;;;Alan Said|Ernesto W. De Luca|Jaime Teevan|Matthias Böhmer 0001;;https://doi.org/10.1145/2442670;;;978-1-4503-1847-1;;;conf/carr/2013;2022-01-25;;;;;ACM;;;;;;;;Proceedings of the 3rd Workshop on Context-awareness in Retrieval and Recommendation, CaRR '13, Rome, Italy, February 5, 2013;db/conf/carr/carr2013.html;;2013
47228;8687467;;;SBIM;;;Eric Saund|Michiel van de Panne;;http://diglib.eg.org/handle/10.2312/419|https://doi.org/10.1145/1384429;;;978-3-905674-00-2;;;conf/sbm/2007;2020-08-19;;;;;Eurographics Association;;;;;;;;4th Eurographics Workshop on Sketch-Based Interfaces and Modeling, SBIM 2007, Riverside, CA, USA, August 2-3, 2007, Proceedings;db/conf/sbm/sbm2007.html;;2007
41353;8373053;;;PAKDD;;;Gillian Dobbie|James Bailey 0001|Joshua Zhexue Huang|Latifur Khan|Ruili Wang|Takashi Washio;;https://doi.org/10.1007/978-3-319-31753-3;;;978-3-319-31752-6;;;conf/pakdd/2016-1;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Advances in Knowledge Discovery and Data Mining - 20th Pacific-Asia Conference, PAKDD 2016, Auckland, New Zealand, April 19-22, 2016, Proceedings, Part I;db/conf/pakdd/pakdd2016-1.html;9651;2016
39995;8301562;;;LP;;;Hozumi Tanaka|Koichi Furukawa|Tetsunosuke Fujisaki;;https://doi.org/10.1007/3-540-19426-6;;;3-540-19426-6;;;conf/lp/1987;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Logic Programming '87, Proceedings of the 6th Conference, Tokyo, Japan, June 22-24, 1987;db/conf/lp/lp87.html;315;1988
46517;8646980;;;MRC@IJCAI;;;David B. Leake|Stefan Schulz 0004|Thomas Roth-Berghofer;;http://ceur-ws.org/Vol-146;oa;;;;;conf/ijcai/2005mrc;2020-03-20;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the IJCAI-05 Workshop on Modeling and Retrieval of Context Edinburgh, July 31 - August 1, 2005.;db/conf/ijcai/mrc2005.html;146;2005
40459;8315400;;;GI@ICSE;;;Justyna Petke|Shin Hwei Tan|Westley Weimer|William B. Langdon;;https://dl.acm.org/citation.cfm?id=3339020|https://ieeexplore.ieee.org/xpl/conhome/8820772/proceeding;;;978-1-7281-2268-7;;;conf/icse/2019gi;2019-10-16;;;;;ACM;;;;;;;;Proceedings of the 6th International Workshop on Genetic Improvement, GI@ICSE 2019, Montreal, Quebec, Canada, May 28, 2019.;db/conf/icse/gi2019.html;;2019
10158;6453478;;;DOLAP;;;Il-Yeol Song|Stefano Rizzi;;;;;;;;conf/dolap/2003;2012-09-17;;;;;ACM;;;;;;;;DOLAP 2003, ACM Sixth International Workshop on Data Warehousing and OLAP, New Orleans, Louisiana, USA, November 7, 2003, Proceedings;db/conf/dolap/dolap2003.html;;2003
34313;7978997;;;ICNP;;;;;https://ieeexplore.ieee.org/xpl/conhome/6718434/proceeding|https://www.computer.org/csdl/proceedings/icnp/2013/1270/00/index.html;;;978-1-4799-1270-4;;;conf/icnp/2013;2019-10-16;;;;;IEEE Computer Society;;;;;;;;2013 21st IEEE International Conference on Network Protocols, ICNP 2013, Göttingen, Germany, October 7-10, 2013;db/conf/icnp/icnp2013.html;;2013
44218;8505824;;;MILS;;;Sergey Tverdyshev;;http://mils-workshop-2017.mils.community/;;;;;;conf/hipeac/2017mils;2018-09-21;;;;;Zenodo;;;;;;;;International Workshop on MILS: Architecture and Assurance for Secure Systems, MILS 2017, Nürnberg, Germany, March 14, 2017.;db/conf/hipeac/mils2017.html;;2017
41315;8371472;;;NordSec;;;Dieter Gollmann|Hanne Riis Nielson;0000-0002-2484-5580;https://doi.org/10.1007/978-3-642-41488-6|https://www.wikidata.org/entity/Q61634662;;;978-3-642-41487-9;;;conf/nordsec/2013;2019-06-02;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Secure IT Systems - 18th Nordic Conference, NordSec 2013, Ilulissat, Greenland, October 18-21, 2013, Proceedings;db/conf/nordsec/nordsec2013.html;8208;2013
7421;6252176;;;ENTER;;;Iis Tussyadiah|Zheng Xiang 0001;;https://doi.org/10.1007/978-3-319-03973-2;;;978-3-319-03972-5|978-3-319-03973-2;;;conf/enter/2014;2019-02-08;;;;;Springer;;;;;;;;Information and Communication Technologies in Tourism 2014, ENTER 2014, Proceedings of the International Conference in Dublin, Ireland, January 21-24, 2014.;db/conf/enter/enter2014.html;;2013
46861;8676428;;;POMC;;;;;;;;1-58113-511-4;;;conf/pomc/2002;2003-07-15;;;;;ACM;;;;;;;;Proceedings of the 2002 Workshop on Principles of Mobile Computing, POMC 2002, October 30-31, 2002, Toulouse, France;db/conf/pomc/pomc2002.html;;2002
28957;7640862;;;ARSO;;;;;https://ieeexplore.ieee.org/xpl/conhome/8016526/proceeding;;;978-1-5090-0475-1;;;conf/arso/2017;2019-10-16;;;;;IEEE;;;;;;;;2017 IEEE Workshop on Advanced Robotics and its Social Impacts, ARSO 2017, Austin, TX, USA, March 8-10, 2017;db/conf/arso/arso2017.html;;2017
48665;8803910;;;CSEDU (1);;;Beno Csapó|James Uhomoibhi;;;;;978-989-758-502-9;;;conf/csedu/2021-1;2021-05-28;;;;;SCITEPRESS;;;;;;;;Proceedings of the 13th International Conference on Computer Supported Education, CSEDU 2021, Online Streaming, April 23-25, 2021, Volume 1.;db/conf/csedu/csedu2021-1.html;;2021
32228;7840893;;;HotNets;;;Brad Karp|Michael Walfish|Sujata Banerjee;;https://doi.org/10.1145/3152434;;;978-1-4503-5569-8;;;conf/hotnets/2017;2018-11-06;;;;;ACM;;;;;;;;Proceedings of the 16th ACM Workshop on Hot Topics in Networks, Palo Alto, CA, USA, HotNets 2017, November 30 - December 01, 2017;db/conf/hotnets/hotnets2017.html;;2017
40826;8339213;;;OR;;;Arie Koster|Britta Peis|Grit Walther|Marco E. Lübbecke|Peter Letmathe|Reinhard Madlener;;https://doi.org/10.1007/978-3-319-28697-6;;;978-3-319-28695-2|978-3-319-28697-6;;;conf/or/2014;2017-05-19;;;;;Springer;;;;;;;;Operations Research Proceedings 2014, Selected Papers of the Annual International Conference of the German Operations Research Society (GOR), RWTH Aachen University, Germany, September 2-5, 2014;db/conf/or/or2014.html;;2016
41277;8370823;;;POLICY;;;;;http://www.computer.org/csdl/proceedings/policy/2012/4735/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/6267007/proceeding;;;978-1-4673-1993-5;;;conf/policy/2012;2019-10-16;;;;;IEEE Computer Society;;;;;;;;2012 IEEE International Symposium on Policies for Distributed Systems and Networks, POLICY 2012, Chapel Hill, NC, USA, July 16-18, 2012;db/conf/policy/policy2012.html;;2012
5742;6172817;;;BCS HCI;;;Dan Diaper|Russel L. Winder;;;;;0-521-35197-9;;;conf/bcshci/1987;2018-06-18;;;;;Cambridge University Press;;;;;;;;People and Computers III, Proceedings of Third Conference of the British Computer Society Human-Computer Interaction Specialist Group, University of Exeter, UK, 7-11 September 1987;db/conf/bcshci/bcshci1987.html;;1987
38446;8220553;;;ITCC;;;;;http://www.computer.org/csdl/proceedings/itcc/2001/1062/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/7336/proceeding;;;0-7695-1062-0;;;conf/itcc/2001;2019-10-16;;;;;IEEE Computer Society;;;;;;;;2001 International Symposium on Information Technology (ITCC 2001), 2-4 April 2001, Las Vegas, NV, USA;db/conf/itcc/itcc2001.html;;2001
37052;8134395;;;GCC;;;;;http://www.computer.org/csdl/proceedings/gcc/2009/3766/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/5279485/proceeding;;;978-0-7695-3766-5;;;conf/gcc/2009;2019-10-16;;;;;IEEE Computer Society;;;;;;;;Eighth International Conference on Grid and Cooperative Computing, GCC 2009, Lanzhou, Gansu, China, August 27-29, 2009;db/conf/gcc/gcc2009.html;;2009
10669;6480879;;;IEEE Congress on Evolutionary Computation;;;;;https://doi.org/10.1109/CEC.2004;;;0-7803-8515-2;;;conf/cec/2004;2021-12-16;;;;;IEEE;;;;;;;;Proceedings of the IEEE Congress on Evolutionary Computation, CEC 2004, 19-23 June 2004, Portland, OR, USA;db/conf/cec/cec2004.html;;2004
48965;8817622;;;IWSW;;;Amed Abel Leiva Mederos|Yusniel Hidalgo-Delgado;;http://ceur-ws.org/Vol-1797|https://nbn-resolving.org/urn:nbn:de:0074-1797-4;oa;;;;;conf/iwsw/2016;2020-02-12;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 2nd International Workshop on Semantic Web 2016 co-located with 14th International Congress on Information (INFO 2016), Havana, Cuba, November 03, 2016.;db/conf/iwsw/iwsw2016.html;1797;2017
45204;8574257;;;ICLR;;;;;https://openreview.net/group?id=ICLR.cc/2021/Conference;oa;;;;;conf/iclr/2021;2021-06-23;;;;;OpenReview.net;;;;;;;;9th International Conference on Learning Representations, ICLR 2021, Virtual Event, Austria, May 3-7, 2021;db/conf/iclr/iclr2021.html;;2021
25886;7449568;;;IC;;;Alain Mille;;;;;978-2-7483-6423-1;;;conf/f-ic/2011;2017-02-06;;;;;Presses de l'université des Antilles et de la Guyane;;;;;;;;IC 2011 : 22es journées Ingénierie des Connaissances (Proceedings of the 22nd French Knowledge Engineering Conference), Chambery, France, May 16-20, 2011.;db/conf/f-ic/ic2011.html;;2011
48400;8776333;;;AAMAS Workshops (Visionary Papers);;;Carles Sierra|Nardine Osman;;https://doi.org/10.1007/978-3-319-46840-2;;;978-3-319-46839-6;;;conf/atal/2016v;2019-05-14;;;;;;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Autonomous Agents and Multiagent Systems - AAMAS 2016 Workshops, - Visionary Papers - , Singapore, Singapore, May 9-10, 2016, Revised Selected Papers;db/conf/atal/aamas2016v.html;10003;2016
27013;7501488;;;SIGHAN@IJCNLP;;;Liang-Chih Yu|Vincent Ng|Yue Zhang|Zhifang Sui;;https://aclanthology.org/W15-3100/|https://aclanthology.org/volumes/W15-31/;oa|oa;;978-1-941643-57-0;;;conf/acl-sighan/2015;2021-08-06;;;;;Association for Computational Linguistics;;;;;;;;Proceedings of the Eighth SIGHAN Workshop on Chinese Language Processing, SIGHAN@IJCNLP 2015, Beijing, China, July 30-31, 2015;db/conf/acl-sighan/acl-sighan2015.html;;2015
29167;7666745;;;PRIMA;;;Bastin Tony Roy Savarimuthu|Edith Elkind|Frank Dignum|Guido Boella|Martin K. Purvis;;https://doi.org/10.1007/978-3-642-44927-7;;;978-3-642-44926-0;;;conf/prima/2013;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;PRIMA 2013: Principles and Practice of Multi-Agent Systems - 16th International Conference, Dunedin, New Zealand, December 1-6, 2013. Proceedings;db/conf/prima/prima2013.html;8291;2013
31578;7791257;;;CVPR;;;;;http://www.computer.org/csdl/proceedings/cvpr/2007/1179/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/4269955/proceeding;;;1-4244-1179-3;;;conf/cvpr/2007;2019-10-16;;;;;IEEE Computer Society;;;;;;;;2007 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR 2007), 18-23 June 2007, Minneapolis, Minnesota, USA;db/conf/cvpr/cvpr2007.html;;2007
47623;8705461;;;PROPOR;;;Claudia Oliveira|Maria Carmelita Dias|Maria das Graças Volpe Nunes|Nuno J. Mamede|Paulo Quaresma|Renata Vieira;0000-0001-6033-158X|0000-0002-5086-059X;https://doi.org/10.1007/11751984;;;3-540-34045-9;;;conf/propor/2006;2020-03-27;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Computational Processing of the Portuguese Language, 7th International Workshop, PROPOR 2006, Itatiaia, Brazil, May 13-17, 2006, Proceedings;db/conf/propor/propor2006.html;3960;2006
40609;8321431;;;ISPE CE;;;Daniel D. Frey|Georg Rock|Shuichi Fukuda;;https://doi.org/10.1007/978-0-85729-799-0;;;978-0-85729-798-3|978-0-85729-799-0;;;conf/ispe/2011;2017-05-25;;;;;Springer;;;;;;;;Improving Complex Systems Today, Proceedings of the 18th ISPE International Conference on Concurrent Engineering, July 4-8, 2011, Boston, MA, USA;db/conf/ispe/ispe2011.html;;2011
14879;6801635;;;CIHLI;;;;;https://ieeexplore.ieee.org/xpl/conhome/6596019/proceeding;;;978-1-4673-5923-8;;;conf/cihli/2013;2019-10-16;;;;;IEEE;;;;;;;;2013 IEEE Symposium on Computational Intelligence for Human-like Intelligence, CIHLI 2013, Singapore, April 16-19, 2013;db/conf/cihli/cihli2013.html;;2013
1537;5921282;;;ISTCS;;;;;https://ieeexplore.ieee.org/xpl/conhome/459/proceeding|https://www.computer.org/csdl/proceedings/istcs/1993/3630/00/index.html;;;0-8186-3630-0;;;conf/istcs/1993;2019-10-16;;;;;IEEE Computer Society;;;;;;;;Second Israel Symposium on Theory of Computing Systems, ISTCS 1993, Natanya, Israel, June 7-9, 1993, Proceedings;db/conf/istcs/istcs1993.html;;1993
32988;7882155;;;APL;;;Michael Kent;;https://doi.org/10.1145/253341|https://doi.org/10.1145/253417;;;0-89791-806-1;;;conf/apl/1996;2021-06-16;;;;;ACM;;;;;;;;Proceedings of the APL 96 Conference on Designing the Future, APL 1996, Lancaster, UK, July 29 - August 1, 1996.;db/conf/apl/apl96.html;;1996
20787;7152609;;;C3S2E;;;Jake Yue Chen|Mehmet Koyutürk|Mohammed J. Zaki|Saeed Salem|Tamer Kahveci;;http://dl.acm.org/citation.cfm?id=2790798;;;978-1-4503-3419-8;;;conf/c3s2e/2015;2015-09-07;;;;;ACM;;;;;;;;Proceedings of the Eighth International C* Conference on Computer Science & Software Engineering, Yokohama, Japan, July 13-15, 2015;db/conf/c3s2e/c3s2e2015.html;;2015
2814;5999027;;;PNPM;;;;;;;;0-8186-0796-3;;;conf/pnpm/1987;2016-06-23;;;;;IEEE Computer Society;;;;;;;;Proceedings of the Second International Workshop on Petri Nets and Performance Models, PNPM 1987, Madison, Wisconsin, USA, August 24-26, 1987;db/conf/pnpm/pnpm1987.html;;1987
46109;8623561;;;DICTA;;;Chunhua Shen|Glenn Geers|Jian Zhang 0002;;http://www.computer.org/csdl/proceedings/dicta/2010/4271/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/5689831/proceeding;;;978-0-7695-4271-3;;;conf/dicta/2010;2019-10-16;;;;;IEEE Computer Society;;;;;;;;International Conference on Digital Image Computing: Techniques and Applications, DICTA 2010, Sydney, Australia, 1-3 December, 2010;db/conf/dicta/dicta2010.html;;2010
7065;6230613;;;ACM National Conference;;;Eric A. Weiss|Herbert S. Bright;;https://doi.org/10.1145/800257;;;978-1-4503-7918-2;;;conf/acm/1964;2021-04-22;;;;;ACM;;;;;;;;Proceedings of the 19th ACM national conference, ACM 1964, USA;db/conf/acm/acm1964.html;;1964
3616;6030732;;;CTW;;;Daniel Herrmann|Rainer Schrader|Ulrich Faigle;;http://ctw.uni-koeln.de/CTW2010.pdf;;;;;;conf/colognetwente/2010;2010-11-09;;;;;;;;;;;;;9th Cologne-Twente Workshop on Graphs and Combinatorial Optimization, Cologne, Germany, May 25-27, 2010. Extended Abstracts;db/conf/colognetwente/colognetwente2010.html;;2010
37045;8133689;;;WOSP/SIPEW;;;Alan Adamson|Andre B. Bondi|Carlos Juiz|Mark S. Squillante;;;;;978-1-60558-563-5;;;conf/wosp/2010;2010-03-23;;;;;ACM;;;;;;;;Proceedings of the first joint WOSP/SIPEW International Conference on Performance Engineering, San Jose, California, USA, January 28-30, 2010;db/conf/wosp/wosp2010.html;;2010
42486;8423120;;;ISSE;;;Helmut Reimer|Norbert Pohlmann|Wolfgang Schneider 0001;;https://doi.org/10.1007/978-3-658-00333-3;;;978-3-658-00332-6|978-3-658-00333-3;;;conf/isse/2012;2019-04-24;;;;;Springer;;;;;;;;ISSE 2012 - Securing Electronic Business Processes, Highlights of the Information Security Solutions Europe 2012 Conference, Brussels, Belgium, October 23-24, 2012;db/conf/isse/isse2012.html;;2012
8168;6325773;;;VTC Spring;;;;;https://ieeexplore.ieee.org/xpl/conhome/6689711/proceeding;;;978-1-4673-6337-2;;;conf/vtc/2013s;2019-10-16;;;;;IEEE;;;;;;;;Proceedings of the 77th IEEE Vehicular Technology Conference, VTC Spring 2013, Dresden, Germany, June 2-5, 2013;db/conf/vtc/vtc2013s.html;;2013
49612;8859105;;;CASCON;;;Andrew Jaramillo|Dorina C. Petriu|Guy-Vincent Jourdan|Iosif-Viorel Onut|Wang Chen;;https://dl.acm.org/citation.cfm?id=3291291;;;;;;conf/cascon/2018;2019-02-18;;;;;ACM;;;;;;;;Proceedings of the 28th Annual International Conference on Computer Science and Software Engineering, CASCON 2018, Markham, Ontario, Canada, October 29-31, 2018.;db/conf/cascon/cascon2018.html;;2018
34730;8003400;;;HICSS;;;;;https://scholarspace.manoa.hawaii.edu/handle/10125/63576;;;;;;conf/hicss/2020;2020-04-22;;;;;ScholarSpace;;;;;;;;53rd Hawaii International Conference on System Sciences, HICSS 2020, Maui, Hawaii, USA, January 7-10, 2020;db/conf/hicss/hicss2020.html;;2020
9769;6433780;;;AIMS@SERVICES;;;Samir Tata|Zhihong Mao;;https://ieeexplore.ieee.org/xpl/conhome/8026187/proceeding|https://www.computer.org/csdl/proceedings/aims/2017/1999/00/index.html;;;978-1-5386-1999-5;;;conf/services/2017aims;2019-10-16;;;;;IEEE Computer Society;;;;;;;;IEEE International Conference on AI & Mobile Services, AIMS 2017, Honolulu, HI, USA, June 25-30, 2017;db/conf/services/aims2017.html;;2017
9101;6396527;;;CCIA;;;Enric Plaza|Karina Gibert|Zoe Falomir;;http://ebooks.iospress.nl/volume/artificial-intelligence-research-and-development-current-challenges-new-trends-and-applications;;;978-1-61499-917-1|978-1-61499-918-8;;;conf/ccia/2018;2018-10-11;;;;;IOS Press;;;;Frontiers in Artificial Intelligence and Applications;db/series/faia/index.html;;;Artificial Intelligence Research and Development - Current Challenges, New Trends and Applications, CCIA 2018, 21st International Conference of the Catalan Association for Artificial Intelligence, Alt Empordà, Catalonia, Spain, 8-10th October 2018;db/conf/ccia/ccia2018.html;308;2018
49283;8838241;;;Logic at Work;;;László Pólos|Michael Masuch;;https://doi.org/10.1007/3-540-58095-6;;;3-540-58095-6;;;conf/law/1992;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Knowledge Representation and Reasoning Under Uncertainty, Logic at Work [International Conference Logic at Work, Amsterdam, The Netherlands, December 17-19, 1992];db/conf/law/law1992.html;808;1994
24346;7370452;;;NCMA;;;Daniel Prusa|Frantisek Mráz|Rudolf Freund;;;;;978-3-903035-18-8;;;conf/ncma/2017;2017-08-21;;;;;Österreichische Computer Gesellschaft;;;;;;;;Ninth Workshop on Non-Classical Models of Automata and Applications, NCMA 2017, Prague, Czech Republic, August 17-18, 2017.;db/conf/ncma/ncma2017.html;;2017
18918;7047974;;;CRIWG;;;Ana Carolina Salgado|Hugo Fuks|Stephan G. Lukosch;;https://doi.org/10.1007/11560296;;;3-540-29110-5;;;conf/criwg/2005;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Groupware: Design, Implementation, and Use, 11th International Workshop, CRIWG 2005, Porto de Galinhas, Brazil, September 25-29, 2005, Proceedings;db/conf/criwg/criwg2005.html;3706;2005
16917;6924799;;;TIA;;;Marie-Claude L'Homme|Sylvie Szulman;;http://ceur-ws.org/Vol-578|https://nbn-resolving.org/urn:nbn:de:0074-578-8;oa;;;;;conf/tia/2009;2020-02-12;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 8th International Conference on Terminology and Artificial Intelligence, Toulouse, France, November 18-20, 2009;db/conf/tia/tia2009.html;578;2010
20493;7137490;;;ACSC;;;Michael J. Oudshoorn;;;;;0-909-92582-8;;;conf/acsc/2002;2018-06-21;;;;;Australian Computer Society;;;;CRPIT;db/series/crpit/index.html;;;Computer Science 2002, Twenty-Fifth Australasian Computer Science Conference (ACSC2002), Monash University, Melbourne, Victoria, Australia, January/February 2002;db/conf/acsc/acsc2002.html;4;2002
36428;8097553;;;ACM Great Lakes Symposium on VLSI;;;Onur Mutlu|Tinoosh Mohsenin|Weisheng Zhao|Yiran Chen;;https://doi.org/10.1145/3386263;;;978-1-4503-7944-1;;;conf/glvlsi/2020;2020-09-15;;;;;ACM;;;;;;;;GLSVLSI '20: Great Lakes Symposium on VLSI 2020, Virtual Event, China, September 7-9, 2020;db/conf/glvlsi/glvlsi2020.html;;2020
10179;6454122;;;HSC;;;Joseph S. Gauthier;;;;;978-1-61738-587-2;;;conf/hsc/2009;2010-12-01;;;;;The Society for Modeling and Simulation International (SCS);;;;;;;;The Huntsville Simulation Conference - HSC 2009, Huntsville, AL, USA, October 27-29, 2009. Proceedings;db/conf/hsc/hsc2009.html;;2009
17982;6973771;;;IS-MiS;;;Francisco José Martínez-López|Jorge Casillas|Juan Manuel Corchado Rodríguez;0000-0002-5887-3977;https://doi.org/10.1007/978-3-642-30864-2;;;978-3-642-30863-5;;;conf/is-mis/2012;2020-07-07;;;;;Springer;;;;Advances in Intelligent Systems and Computing;db/series/asc/index.html;;;Management Intelligent Systems - First International Symposium, IS-MiS 2012, Salamanca, Spain, July 11-13, 2012;db/conf/is-mis/is-mis2012.html;171;2012
9571;6425709;;;SVR;;;;;https://ieeexplore.ieee.org/xpl/conhome/6596200/proceeding|https://www.computer.org/csdl/proceedings/svr/2013/5001/00/index.html;;;978-0-7695-5001-5;;;conf/svr/2013;2019-10-16;;;;;IEEE Computer Society;;;;;;;;15th Symposium on Virtual and Augmented Reality, SVR 2013, Cuiabá - Mato Grosso, Brazil, May 28-31, 2013;db/conf/svr/svr2013.html;;2013
25569;7436778;;;NCTCS;;;Ding-Zhu Du|En Zhu|Kun He 0001|Lian Li 0001;;https://doi.org/10.1007/978-981-10-6893-5;;;978-981-10-6892-8|978-981-10-6893-5;;;conf/nctcs/2017;2018-07-09;;;;;Springer;;;;Communications in Computer and Information Science;db/series/ccis/index.html;;;Theoretical Computer Science - 35th National Conference, NCTCS 2017, Wuhan, China, October 14-15, 2017, Proceedings;db/conf/nctcs/nctcs2017.html;768;2017
16248;6874569;;;ROCLING;;;Chu-Ren Huang|Keh-Jiann Chen;;https://aclanthology.org/O89-1000/|https://aclanthology.org/volumes/O89-1/;oa|oa;;;;;conf/rocling/1989;2021-08-06;;;;;The Association for Computational Linguistics and Chinese Language Processing (ACLCLP);;;;;;;;Proceedings of Rocling Computational Linguistics Conference, ROCLING 1989, Nantou, Taiwan, September 1989;db/conf/rocling/rocling1989.html;;1989
3119;6008655;;;MEMOCODE;;;;;http://dl.acm.org/citation.cfm?id=823453|http://www.computer.org/csdl/proceedings/memocode/2003/1923/00/index.html|https://ieeexplore.ieee.org/xpl/conhome/8593/proceeding;;;0-7695-1923-7;;;conf/memocode/2003;2019-10-16;;;;;IEEE Computer Society;;;;;;;;1st ACM & IEEE International Conference on Formal Methods and Models for Co-Design (MEMOCODE 2003), 24-26 June 2003, Mont Saint-Michel, France, Proceedings;db/conf/memocode/memocode2003.html;;2003
11387;6518906;;;ITI;;;Iva Jarec|Vesna Luzar-Stiffler|Zoran Bekic;;;;;978-953-7138-15-8;;;conf/iti/2009;2011-01-14;;;;;IEEE;;;;;;;;Proceedings of the ITI 2009 31st International Conference on Information Technology Interfaces, Cavtat/Dubrovnik, Croatia, June 22-25, 2009;db/conf/iti/iti2009.html;;2009
9956;6447106;;;AMAST;;;Grigore Rosu|José Meseguer;;https://doi.org/10.1007/978-3-540-79980-1;;;978-3-540-79979-5;;;conf/amast/2008;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Algebraic Methodology and Software Technology, 12th International Conference, AMAST 2008, Urbana, IL, USA, July 28-31, 2008, Proceedings;db/conf/amast/amast2008.html;5140;2008
27275;7516163;;;WSOM;;;Jorma Laaksonen|Timo Honkela;;https://doi.org/10.1007/978-3-642-21566-7;;;978-3-642-21565-0;;;conf/wsom/2011;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Advances in Self-Organizing Maps - 8th International Workshop, WSOM 2011, Espoo, Finland, June 13-15, 2011. Proceedings;db/conf/wsom/wsom2011.html;6731;2011
29237;7670677;;;DAGM-Symposium;;;Rudolf E. Großkopf;;https://doi.org/10.1007/978-3-642-84305-1;;;3-540-53172-6;;;conf/dagm/1990;2017-05-21;;;;;Springer;;;;Informatik-Fachberichte;db/series/ifb/index.html;;;Mustererkennung 1990, 12. DAGM-Symposium, Oberkochen-Aalen, 24.-26. September 1990, Proceedings;db/conf/dagm/dagm1990.html;254;1990
9040;6391409;;;QEST;;;Benny Van Houdt|Gul Agha;;https://doi.org/10.1007/978-3-319-43425-4;;;978-3-319-43424-7;;;conf/qest/2016;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Quantitative Evaluation of Systems - 13th International Conference, QEST 2016, Quebec City, QC, Canada, August 23-25, 2016, Proceedings;db/conf/qest/qest2016.html;9826;2016
1218;5886696;;;NetSoft;;;;;https://ieeexplore.ieee.org/xpl/conhome/8429968/proceeding;;;978-1-5386-4633-5;;;conf/netsoft/2018;2019-10-16;;;;;IEEE;;;;;;;;4th IEEE Conference on Network Softwarization and Workshops, NetSoft 2018, Montreal, QC, Canada, June 25-29, 2018;db/conf/netsoft/netsoft2018.html;;2018
40794;8335542;;;WACV Workshops;;;;;https://ieeexplore.ieee.org/xpl/conhome/9094548/proceeding;;;978-1-7281-7162-3;;;conf/wacv/2020w;2020-05-27;;;;;IEEE;;;;;;;;IEEE Winter Applications of Computer Vision Workshops, WACV Workshops 2020, Snowmass Village, CO, USA, March 1-5, 2020;db/conf/wacv/wacv2020w.html;;2020
5044;6131675;;;CODASPY;;;Elisa Bertino|Jaehong Park|Ravi S. Sandhu;;http://dl.acm.org/citation.cfm?id=2557547;;;978-1-4503-2278-2;;;conf/codaspy/2014;2014-03-14;;;;;ACM;;;;;;;;Fourth ACM Conference on Data and Application Security and Privacy, CODASPY'14, San Antonio, TX, USA - March 03 - 05, 2014;db/conf/codaspy/codaspy2014.html;;2014
10937;6500846;;;WHISPERS;;;;;https://doi.org/10.1109/WHISPERS52202.2021;;;978-1-6654-3601-4;;;conf/whispers/2021;2021-07-26;;;;;IEEE;;;;;;;;11th Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing, WHISPERS 2021, Amsterdam, Netherlands, March 24-26, 2021;db/conf/whispers/whispers2021.html;;2021
