;book:ID;author:string[];author-bibtex:string;author-orcid:string[];booktitle:string;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];isbn:string[];isbn-type:string[];key:string;mdate:date;month:string;note:string;note-type:string;pages:string[];publisher:string;publisher-href:string;publtype:string;school:string[];series:string;series-href:string;sub:string;sup:string[];title:string;url:string;volume:string;year:int
7593;2863708;Colin Moock;;;;;;;;;;http://www.oreilly.de/catalog/0596006527/index.html;;;978-0-596-00652-5;;books/daglib/0011230;2011-04-07;;;;I-XXIV, 1-502;O'Reilly;;;;;;;;Essential ActionScript 2.0 - object-oriented development with ActionScript 2.0.;;;2004
3694;2855813;David Argles|Gary B. Wills|Lisha Chen-Wilson|Michele Schiano di Zenise|Norberto Nuno Gomes de Andrade;;;;;;;;;;https://doi.org/10.1007/978-1-4471-6449-4;;;978-1-4471-6448-7|978-1-4471-6449-4;;series/sbcysec/AndradeCAZW14;2020-09-29;;;;1-90;Springer;;;;Springer Briefs in Cybersecurity;db/series/sbcysec/index.html;;;Electronic Identity;;;2014
7275;2863330;George Reese 0002;;;;;;;;;;http://www.oreilly.de/catalog/9780596156367/index.html;;;978-0-596-15636-7;;books/daglib/0022621;2018-02-05;;;;I-XII, 1-189;O'Reilly;;;;;;;;Cloud Application Architectures - Building Applications and Infrastructure in the Cloud.;;;2009
8586;2864837;Rais Gatic Bukharaev;;;;;;;;;;;;;978-3-519-02124-7;;books/daglib/0079125;2011-04-27;;;;I-X, 1-372;Teubner;;;;Leitfäden der Informatik;;;;Theorie der stochastischen Automaten.;;;1995
3809;2857351;Klaus Schneider 0001;;0000-0002-1305-7132;;;;;;;;https://doi.org/10.1007/978-3-662-10778-2;;;978-3-642-05555-3|978-3-662-10778-2;;series/txtcs/Schneider04;2017-06-09;;;;1-602;Springer;;;;Texts in Theoretical Computer Science. An EATCS Series;db/series/txtcs/index.html;;;Verification of Reactive Systems - Formal Methods and Algorithms;;;2004
18560;2895625;J. Christopher Westland;;0000-0003-2224-4543;;;;;;;;https://doi.org/10.1007/978-3-030-12508-0;;;978-3-030-12507-3;;books/sp/Westland19;2020-10-06;;;;1-134;Springer;;;;;;;;Structural Equation Models - From Paths to Networks, Second Edition;;22;2019
13221;2872934;George A. Anastassiou|Sorin G. Gal;;;;;;;;;;;;;978-3-7643-4151-0;;books/daglib/0002250;2011-04-12;;;;I-XI, 1-525;Birkhäuser;;;;;;;;Approximation theory - moduli of continuity and global smoothness preservation.;;;2000
14144;2878508;Jacques Fayolle;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00380993;;;;;books/hal/Fayolle07;2017-09-28;;;;;;;habil;Jean Monnet University, Saint-Étienne, France;;;;;De la recherche en traitement d'images à la recherche en systèmes d'informations en passant par l'enseignement à distance et le travail collaboratif.;;;2007
12351;2871958;Patrick D. Terry;;;;;;;;;;;;;978-0-201-18040-4;;books/daglib/0070717;2011-05-05;;;;I-VIII, 1-443;Addison-Wesley;;;;;;;;Programming language translation - a practical approach.;;;1986
9050;2865356;;;;;;;;;Dennis Dieks|Marcel Weber|Maria Carla Galavotti|Stephan Hartmann 0001|Thomas Uebel|Wenceslao J. Gonzalez;;https://doi.org/10.1007/978-3-319-04382-1;;;978-3-319-04381-4|978-3-319-04382-1;;books/daglib/0035235;2019-03-14;;;;;Springer;;;;;;;;New Directions in the Philosophy of Science;db/books/collections/GDGHUW2014.html;;2014
13773;2875241;Antonio Lieto;;0000-0002-8323-8764;;;;;;;;https://doi.org/10.4324/9781315460536;;;9781138207950;;books/tf/21/L2021;2021-07-25;;;;;Routledge;;;;;;;;Cognitive Design for Artificial Minds;;;2021
14703;2879067;Dominique Guégan;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00330671;;;;;books/hal/Guegan88;2017-09-28;;;;;;;habil;Joseph Fourier University, Grenoble, France;;;;;Modèles bilinéaires et polynomiaux de séries chronologiques : étude probabiliste et analyse statistique. (Polynomial and bilinear time series models : probabilistic study and statistical analysis).;;;1988
516;2843223;;;;Applications of Computational Intelligence in Biomedical Technology;;;;;Elena Zaitseva|Jaroslav Majerník|Krzysztof Pancerz|Radim Bris;0000-0002-5452-6310;https://doi.org/10.1007/978-3-319-19147-8;;;978-3-319-19146-1;;series/sci/2015-606;2020-03-27;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Applications of Computational Intelligence in Biomedical Technology;db/series/sci/sci606.html;606;2016
5958;2861872;Theodore Hailperin;;;;;;;;;;;;;978-0-444-87952-3;;books/daglib/0067553;2019-06-28;;;;I-XII, 1-428;North-Holland;;;;Studies in logic and the foundations of mathematics;;;;Boole's logic and probability - a critical exposition from the standpoint of contemporary algebra, logic and probability theory (2. ed.).;;85;1986
9472;2865821;Mario Dal Cin;;;;;;;;;;;;;978-3-519-02941-0;;books/daglib/0084993;2011-04-27;;;;1-318;Teubner;;;;Leitfäden der Informatik;;;;Rechnerarchitektur - Grundzüge des Aufbaus und der Organisation von Rechnerhardware.;;;1996
15825;2881372;Luigi Preziosi|Roberto Monaco;;;;;;;;;;https://doi.org/10.1142/1264;;;978-981-02-0466-2;;books/ws/MonacoP91;2017-05-16;;;;1-288;World Scientific;;;;Series on Advances in Mathematics for Applied Sciences;;;;Fluid Dynamic Applications of the Discrete Boltzmann Equation;;3;1991
7287;2863347;Henning Mittelbach;;;;;;;;;;;;;978-3-519-12986-8;;books/daglib/0095034;2011-04-21;;;;1-493;Teubner;;;;;;;;Programmierkurs TURBO-PASCAL - Version 7.0: ein Lehr- und Übungsbuch mit mehr als 220 Programmen (2. Aufl.).;;;1998
15112;2879476;Joël Liénard;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-00308760;;;;;books/hal/Lienard83;2017-09-28;;;;;;;habil;Grenoble Institute of Technology, France|Joseph Fourier University, Grenoble, France;;;;;Contribution à l'étude des moyens de mise en œuvre des traitements numériques du signal.;;;1983
14132;2878496;Eugenio Cinquemani;;;;;;;;;;https://tel.archives-ouvertes.fr/tel-02424024;;;;;books/hal/Cinquemani19;2020-01-16;;;;;;;habil;Grenoble Alpes University, France;;;;;Identification, estimation and control of gene expression and metabolic network dynamics. (Identification, estimation et contrôle des dynamiques d'expression génique et des réseaux métaboliques).;;;2019
11588;2868207;Peter A. Markowich;;;;;;;;;;http://www.springerlink.com/content/978-3-540-34645-6;archive;;;;books/daglib/0017636;2020-02-25;;;;I-IX, 1-206;Springer;;;;;;;;Applied partial differential equations - a visual approach.;;;2007
5870;2861770;Gabriella Kókai;;;;;;;;;;https://www2.informatik.uni-erlangen.de/publication/download/Habil_Kokai.pdf;oa;;;;books/daglib/0009721;2020-03-12;;;;1-449;;;habil;University of Erlangen-Nuremberg, Germany;Arbeitsberichte des Department Informatik / Friedrich-Alexander-Universität Erlangen-Nürnberg;;;;Erfolge und Probleme evolutionärer Algorithmen, induktiver logischer Programmierung und ihrer Kombination.;;36, 1;2003
17071;2889129;Simon James;;;;;;;;;;https://doi.org/10.1007/978-3-319-46762-7;;;978-3-319-46761-0|978-3-319-46762-7;;books/sp/James16;2017-05-16;;;;1-199;Springer;;;;;;;;An Introduction to Data Analysis using Aggregation Functions in R;;;2016
12654;2872302;Chris Seibold;;;;;;;;;;http://www.oreilly.de/catalog/9781449330323/index.html;;;978-1-449-33032-3;;books/daglib/0029538;2012-09-04;;;;I-X, 1-252;O'Reilly;;;;;;;;OS X Mountain Lion - Pocket Guide: The Ultimate Quick Guide to OS X.;;;2012
12069;2871644;Richard W. Markley;;;;;;;;;;;;;978-0-13-200478-7;;books/daglib/0067167;2011-05-03;;;;I-XIV, 1-236;Prentice Hall;;;;;;;;Data communications and interoperability.;;;1990
3783;2857076;;;;"Comprehensive Approach as ""Sine Qua Non"" for Critical Infrastructure Protection";;;;;Denis Caleta|Vesela Radovic;;;;;978-1-61499-477-0|978-1-61499-478-7;;series/natosec/39;2015-07-06;;;;;IOS Press;;;;NATO Science for Peace and Security Series, D: Information and Communication Security;db/series/natosec/index.html;;;"Comprehensive Approach as ""Sine Qua Non"" for Critical Infrastructure Protection";db/series/natosec/natosec39.html;39;2015
6338;2862291;Anton Gunzinger;;;;;;;;;;https://d-nb.info/910085323|https://d-nb.info/946126755;;;978-3-7281-1791-5;;books/daglib/0084042;2021-07-17;;;;I-X, 1-129;vdf;;;ETH Zurich, Switzerland;;;;;Synchroner Datenflussrechner zur Echtzeitbildverarbeitung.;;;1990
11083;2867637;Marcus Spies;;;;;;;;;;;;;978-3-86025-006-8;;books/daglib/0072680;2011-04-29;;;;1-389;Spektrum Akademischer Verlag;;;;;;;;Unsicheres Wissen - Wahrscheinlichkeit, Fuzzy-Logik, neuronale Netze und menschliches Denken.;;;1993
6520;2862500;R. Michael Alvarez|Thad E. Hall;;;;;;;;;;;;;978-0-8157-0369-3;;books/daglib/0025980;2011-05-05;;;;I-VIII, 1-204;Brookings Institution Press;;;;;;;;Point, Click, and Vote - The Future of Internet Voting.;;;2004
11627;2868248;Mark Witkowski|Robert Spence;;;;;;;;;;https://doi.org/10.1007/978-1-4471-5085-5;;;978-1-4471-5084-8;;books/daglib/0031865;2017-05-16;;;;I-XI, 1-110;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Rapid Serial Visual Presentation - Design for Cognition.;;;2013
1967;2850405;Kostas Stefanidis|Vasilis Efthymiou|Vassilis Christophides;;;Entity Resolution in the Web of Data;;;;;;;https://doi.org/10.2200/S00655ED1V01Y201507WBE013;;;;;series/synthesis/2015Christophides;2017-05-16;;;;;Morgan & Claypool Publishers;;;;Synthesis Lectures on the Semantic Web: Theory and Technology;db/series/synthesis/wbe.html;;;Entity Resolution in the Web of Data;;;2015
6039;2861959;Helmut Kopka|Patrick W. Daly;;;;;;;;;;;;;978-0-201-42777-6;;books/daglib/0080755;2011-04-27;;;;I-X, 1-554;Addison-Wesley;;;;;;;;A guide to LATEX - document preparation for beginners and advanced users (2. ed.).;;;1995
17987;2892892;;;;;;;;;Alberto Policriti|Eugenio G. Omodeo;;https://doi.org/10.1007/978-3-319-41842-1;;;978-3-319-41841-4|978-3-319-41842-1;;books/sp/2016OP;2018-12-28;;;;;Springer;;;;Outstanding Contributions to Logic;;;;Martin Davis on Computability, Computational Logic, and Mathematical Foundations.;db/books/collections/OP2016.html;10;2016
2404;2850890;;;;Fouille de données complexes;;;;;Arnaud Martin|Boutheina Ben Yaghlane|Guillaume Cleuziou|Mustapha Lebbah;;http://editions-rnti.fr/?procid=100094;;;;;series/rnti/E21;2014-05-07;;;;;Hermann-Éditions;;;;RNTI;db/series/rnti/index.html;;;Fouille de données complexes. Complexité liée aux données multiples;db/series/rnti/rnti-E21.html;E-21;2011
9376;2865715;Jonathan P. Hodgson;;;;;;;;;;;;;978-0-13-515123-5;;books/daglib/0068847;2011-04-19;;;;1-230;Ellis Horwood;;;;Ellis Horwood series in artificial intelligence;;;;Knowledge representation and language in AI.;;;1991
13965;2877088;Jim Melton;;;;;;;;;;;;;1-55860-461-8;;books/mk/Melton98;2002-01-28;;;;;Morgan Kaufmann;;;;;;;;Understanding SQL Stored Procedures: A Complete Guide to SQL/PSM;;;1998
17128;2889355;Francis C. M. Lau 0001|Qiang-Sheng Hua|Yuexuan Wang|Zhaoquan Gu;;;;;;;;;;https://doi.org/10.1007/978-981-10-3680-4;;;978-981-10-3679-8;;books/sp/GuWHL17;2017-08-28;;;;3-262;Springer;;;;;;;;Rendezvous in Distributed Systems - Theory, Algorithms and Applications;;;2017
1433;2849871;Allen B. MacKenzie|Luiz A. DaSilva;;0000-0003-4041-5609;Game Theory for Wireless Engineers;;;;;;;https://doi.org/10.2200/S00014ED1V01Y200508COM001;;;1598290169|1598290177;;series/synthesis/2006MacKenzie;2021-04-09;;;;1-86;Morgan & Claypool Publishers;;;;Synthesis Lectures on Communications;db/series/synthesis/com.html;;;Game Theory for Wireless Engineers;;;2006
8271;2864481;Charles L. Epstein;;;;;;;;;;;;;978-0-89871-642-9;;books/daglib/0019944;2011-02-10;;;;I-XXXIII, 1-761;SIAM;;;;;;;;Introduction to the mathematics of medical imaging (2. ed.).;;;2008
9500;2865850;Gunter Saake|Kai-Uwe Sattler;;;;;;;;;;;;;978-3-89864-228-6;;books/daglib/0008782;2019-07-15;;;;I-XII, 1-352;dpunkt.verlag;;;;iX-Edition;;;;Datenbanken und Java - JDBC, SQLJ, ODMG und JDO, 2. Auflage.;;;2003
18091;2894201;C. S. R. Prabhu;;;;;;;;;;https://doi.org/10.1007/978-981-13-3209-8;;;978-981-13-3208-1;;books/sp/Prabhu19;2019-01-11;;;;1-71;Springer;;;;;;;;Fog Computing, Deep Learning and Big Data Analytics-Research Directions;;;2019
6270;2862215;Herbert Weber;;;;;;;;;;;;;978-3-540-55172-0;;books/daglib/0092243;2011-04-29;;;;I-XII, 1-150;Springer;;;;Springer Compass;;;;Die Software-Krise und ihre Macher.;;;1992
18990;2898337;Hartmut Wedekind|Theo Härder;;;;;;;;;;;;;3-411-01615-9;;books/bi/WedekindH1981;2004-01-13;;;;;Bibliographisches Institut;;;;Reihe Informatik;;;;Datenbanksysteme I, 2. Auflage;;16;1981
12490;2872120;Heinrich Meyr|Oliver Schliebusch|Rainer Leupers;;;;;;;;;;https://d-nb.info/981616836;;;978-1-4020-5685-7;;books/daglib/0017773;2021-07-17;;;;I-XIV, 1-193;Kluwer;;;RWTH Aachen University, Germany;;;;;Optimized ASIP synthesis from architecture description language models.;;;2007
11414;2868016;Rolf Wanka;;;;;;;;;;;;;978-3-519-00444-8;;books/daglib/0017065;2019-07-09;;;;I-XII, 1-206;Teubner;;;;Leitfäden der Informatik;;;;Approximationsalgorithmen - eine Einführung.;;;2006
15974;2881898;Jianjun Zhang|Jing Li;;;;;;;;;;https://doi.org/10.1142/11667;;;9789811214349|9789811214356|9789811214363;;books/ws/ZhangL20;2021-04-01;;;;1-328;WorldScientific;;;;;;;;Cognitive Satellite System;;;2020
506;2843088;;;;;;;;;Oscar Castillo 0001|Patricia Melin;;https://doi.org/10.1007/978-3-030-34135-0;;;978-3-030-34134-3|978-3-030-34135-0;;series/sci/827;2019-11-26;;;;;Springer;;;;Studies in Computational Intelligence;db/series/sci/index.html;;;Hybrid Intelligent Systems in Control, Pattern Recognition and Medicine;db/series/sci/sci827.html;827;2020
2552;2851646;David A. Papa|Igor L. Markov;;;;;;;;;;https://doi.org/10.1007/978-1-4614-1356-1;;;978-1-4614-1355-4;;series/lnee/PapaM13;2017-05-16;;;;3-155;Springer;;;;Lecture Notes in Electrical Engineering;db/series/lnee/index.html;;;Multi-Objective Optimization in Physical Synthesis of Integrated Circuits;;166;2013
5729;2861610;Thierry Scheurer;;;;;;;;;;;;;978-0-201-54429-9;;books/daglib/0080563;2011-04-29;;;;I-XXIV, 1-668;Addison-Wesley;;;;;;;;Foundations of computing - system development with set theory and logic.;;;1994
2874;2853302;Hong Wen;;;;;;;;;;https://doi.org/10.1007/978-1-4614-6510-2;;;978-1-4614-6509-6|978-1-4614-6510-2;;series/sbcs/Wen13;2017-05-16;;;;i-x, 1-83;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Physical Layer Approaches for Securing Wireless Communication Systems.;;;2013
3153;2853587;Subodha Gunawardena|Weihua Zhuang;;;;;;;;;;https://doi.org/10.1007/978-3-319-04645-7;;;978-3-319-04644-0|978-3-319-04645-7;;series/sbcs/GunawardenaZ14;2017-05-16;;;;1-91;Springer;;;;Springer Briefs in Computer Science;db/series/sbcs/index.html;;;Modeling and Analysis of Voice and Data in Cognitive Radio Networks;;;2014
3355;2854327;James F. Peters;;;;;;;;;;https://doi.org/10.1007/978-3-642-53845-2;;;978-3-642-53844-5;;series/isrl/2014-63;2017-05-16;;;;1-342;Springer;;;;Intelligent Systems Reference Library;db/series/isrl/index.html;;;Topology of Digital Images - Visual Pattern Discovery in Proximity Spaces;;63;2014
9662;2866027;Rob H. Bisseling;;;;;;;;;;;;;978-0-19-852939-2;;books/daglib/0010863;2011-04-07;;;;I-XVIII, 1-305;Oxford University Press;;;;;;;;Parallel scientific computation - a structured approach using BSP and MPI.;;;2004
6121;2862050;Randy K. Young;;;;;;;;;;;;;978-0-7923-9271-2;;books/daglib/0071807;2019-07-18;;;;I-XIV, 1-220;Kluwer;;;;The Kluwer international series in engineering and computer science;;;;Wavelet theory and its applications.;;189;1993
10390;2866860;Stanley B. Lippman;;;;;;;;;;;;;978-0-201-54848-8;;books/daglib/0066758;2011-04-07;;;;1-614;Addison-Wesley;;;;;;;;C++ primer (2 ed.).;;;1991
