;incollection:ID;author:string[];author-orcid:string[];booktitle:string;cdrom:string;chapter:int;cite:string[];cite-label:string[];crossref:string;ee:string[];ee-type:string[];i:string[];key:string;mdate:date;note:string;number:string;pages:string;publisher:string;publisher-href:string;publtype:string;sub:string[];sup:string[];title:string;url:string;year:int
44003;2868730;András Sárközy;;The Mathematics of Paul Erdős I;;;;;books/daglib/0037865;https://doi.org/10.1007/978-1-4614-7258-2_15;;;books/daglib/p/Sarkozy13;2017-05-16;;;221-232;;;;;;On Divisibility Properties of Sequences of Integers.;db/books/collections/GNB2013.html#Sarkozy13;2013
6099;6735;Helen Petrie|Nigel Bevan;0000-0002-0100-9846;The Universal Access Handbook;;;;;reference/crc/2009ua;https://doi.org/10.1201/9781420064995-c20;;;reference/crc/PetrieB09;2018-11-30;;;1-16;;;encyclopedia;;;The Evaluation of Accessibility, Usability, and User Experience.;db/reference/crc/ua2009.html#PetrieB09;2009
53900;2883231;Eric Bittar|Marie-Paule Gascuel|Nicolas Tsingos;;Computer Graphics;;;;;books/el/95/EV1995;https://doi.org/10.1016/b978-0-12-227741-2.50005-0;;;books/el/95/TsingosBG95;2019-06-26;;;3-15;;;;;;Implicit Surfaces for Semi-automatic Medical Organ Reconstruction.;db/books/collections/EV1995.html#TsingosBG95;1995
40864;2856499;Andrés García|Javier de Lope Asiaín|José Antonio Martín H.|Matilde Santos Peñas;0000-0001-9779-6057|0000-0003-1993-8368;Innovations in Hybrid Intelligent Systems;;;;;series/asc/2008-44;https://doi.org/10.1007/978-3-540-74972-1_15;;;series/asc/HSGA08;2021-10-14;;;104-111;;;;;;A Computational Model of the Equivalence Class Formation Psychological Phenomenon.;db/series/asc/asc44.html#HSGA08;2008
50115;2877231;Okan K. Ersoy;;Algorithms and Architectures;;;;;books/mk/98/L1998;https://doi.org/10.1016/s1874-5946(98)80075-8;;;books/mk/98/Ersoy98;2020-05-14;;;363-400;;;;;;Parallel, self-organizing, hierarchical neural network systems.;db/books/collections/L1998.html#Ersoy98;1998
35062;2847897;Amandeep Verma|Arun Kumar Sangaiah|Sakshi Kaushal;0000-0002-0229-2460|0000-0002-3647-0341;Intelligent Decision Support Systems for Sustainable Computing;;;;;series/sci/2017-705;https://doi.org/10.1007/978-3-319-53153-3_4;;;series/sci/VermaKS17;2019-10-19;;;53-76;;;;;;Computational Intelligence Based Heuristic Approach for Maximizing Energy Efficiency in Internet of Things.;db/series/sci/sci705.html#VermaKS17;2017
16231;16901;;;Encyclopedia of Biometrics;;;;;reference/bio/2009;https://doi.org/10.1007/978-0-387-73003-5_2480;;;reference/bio/X09xkh;2017-07-12;;;1367;;;encyclopedia;;;User-dependent Fusion.;db/reference/bio/u.html#X09xkh;2009
31015;2843432;Alfred Theorin|Charlotta Johnsson|Lisa Ollinger;;Service Orientation in Holonic and Multi Agent Manufacturing and Robotics;;;;;series/sci/2013-472;https://doi.org/10.1007/978-3-642-35852-4_14;;;series/sci/TheorinOJ13;2017-05-16;;;213-228;;;;;;Service-Oriented Process Control with Grafchart and the Devices Profile for Web Services.;db/series/sci/sci472.html#TheorinOJ13;2013
6559;7200;;;Encyclopedia of Multimedia;;;;;reference/mm/2008;https://doi.org/10.1007/978-0-387-78414-4_263;;;reference/mm/X08lw;2017-07-12;;;989-991;;;encyclopedia;;;WMV-9 Video Compression.;db/reference/mm/mm2008.html#X08lw;2008
62724;2893920;Anthony J. Maeder|Belal Saeed Alsinglawi|Mahmoud Elkhodr|Mohammad Dahman Alshehri|Quang Vinh Nguyen|Simeon Simoff|Upul Gunawardana;0000-0002-0815-6224|0000-0003-0316-3641;Recent Trends and Advances in Wireless and IoT-enabled Networks;;;;;books/sp/19/JKA2019;https://doi.org/10.1007/978-3-319-99966-1_7;;;books/sp/19/AlsinglawiNGSMEA19;2021-10-14;;;73-81;;;;;;Passive RFID Localization in the Internet of Things.;db/books/collections/JKA2019.html#AlsinglawiNGSMEA19;2019
43883;2868610;Simon Fürst|Stefan Bunzel;;Handbuch Fahrerassistenzsysteme;;;;;books/daglib/0036821;https://doi.org/10.1007/978-3-658-05734-3_7;;;books/daglib/p/FurstB15;2017-05-16;;;105-122;;;;;;AUTOSAR.;db/books/collections/WHLS2015.html#FurstB15;2015
54276;2883616;Hing-Yan Lee|Yao-Sing Tao;;The Cloud Security Ecosystem;;;;;books/el/KC2015;https://doi.org/10.1016/B978-0-12-801595-7.00004-5;;;books/el/15/LeeT15;2017-06-19;;;83-97;;;;;;Multitiered cloud security model.;db/books/collections/KC2015.html#LeeT15;2015
8414;9061;Pascal Poupart;;Encyclopedia of Machine Learning;;;;;reference/ml/2010;https://doi.org/10.1007/978-0-387-30164-8_629;;;reference/ml/Poupart10a;2017-07-12;;;754-760;;;encyclopedia;;;Partially Observable Markov Decision Processes.;db/reference/ml/ml2010.html#Poupart10a;2010
39497;2854868;Seiki Akama|Tetsuya Murai|Yasuo Kudo;;Towards Paraconsistent Engineering;;;;;series/isrl/110;https://doi.org/10.1007/978-3-319-40418-9_9;;;series/isrl/MuraiKA16;2017-05-16;;;179-196;;;;;;Paraconsistency, Chellas's Conditional Logics, and Association Rules.;db/series/isrl/isrl110.html#MuraiKA16;2016
64181;2895978;Ahmed M. Eltawil|Avesta Sasan|Fadi J. Kurdahi;;Near Threshold Computing;;;;;books/sp/HS2016;https://doi.org/10.1007/978-3-319-23389-5_6;;;books/sp/16/SasanKE16a;2018-04-28;;;;;;;;;Erratum to: Chapter 4 Resizable Data Composer (RDC) Cache: A Near-Threshold Cache Tolerating Process Variation via Architectural Fault Tolerance.;db/books/collections/HS2016.html#SasanKE16a;2016
47290;2873808;Alessandro Campi|Giuseppe Psaila|Gloria Bordogna|Stefania Ronchi;0000-0001-8138-4146|0000-0002-6775-753X|0000-0002-9228-560X;Scalable Fuzzy Algorithms for Data Management and Analysis;;;;;books/igi/09/LL2009;https://doi.org/10.4018/978-1-60566-858-1.ch007;;;books/igi/09/BordognaCRP09;2020-10-25;;;179-213;;;;;;A Flexible Language for Exploring Clustered Search Results.;db/books/collections/LL2009.html#BordognaCRP09;2009
36577;2850891;Estelle Delpech;;Mesurer et évaluer la Qualité des Données et des Connaissances;;;;;series/rnti/E22;http://editions-rnti.fr/?inprocid=1001110;;;series/rnti/Delpech12;2014-05-01;;;23-48;;;;;;Un protocole d'évaluation applicative des terminologies bilingues destinées à la traduction spécialisée.;db/series/rnti/rnti-E22.html#Delpech12;2012
59968;2890467;Cian Young|Kim-Kwang Raymond Choo|Nhien-An Le-Khac|Robert McArdle;;Cyber and Digital Forensic Investigations;;;;;books/sp/20/LC2020;https://doi.org/10.1007/978-3-030-47131-6_4;;;books/sp/20/YoungMLC20;2020-07-28;;;51-77;;;;;;Forensic Investigation of Ransomware Activities - Part 1.;db/books/collections/LC2020.html#YoungMLC20;2020
66524;6274533;Gabriel M. Kuper|Jianwen Su|Stéphane Grumbach;;Constraint Databases;;;;;books/sp/Kuper00;;;;conf/cdb/GrumbachKS00;2019-08-08;;;89-107;;;;;;Expressive Power: The Infinite Case.;db/conf/cdb/cdb2000.html#GrumbachKS00;2000
11729;12380;;;Encyclopedia of GIS;;;;;reference/gis/2017;https://doi.org/10.1007/978-3-319-17885-1_100881;;;reference/gis/X17xff;2017-07-12;;;1465;;;encyclopedia;;;OGC Standards, ODBC.;db/reference/gis/gis2017.html#X17xff;2017
19019;19711;J. Ian Munro|Jérémy Barbay;;Encyclopedia of Algorithms;;;;;reference/algo/2008;https://doi.org/10.1007/978-0-387-30162-4_411;;;reference/algo/BarbayM08;2017-07-12;;;;;;encyclopedia;;;Succinct Encoding of Permutations: Applications to Text Indexing.;db/reference/algo/algo2008.html#BarbayM08;2008
8708;9355;;;Encyclopedia of Machine Learning and Data Mining;;;;;reference/ml/2017;https://doi.org/10.1007/978-1-4899-7687-1_390;;;reference/ml/X17jv;2017-07-12;;;641;;;encyclopedia;;;Inductive Bias.;db/reference/ml/ml2017.html#X17jv;2017
21646;22345;;;Encyclopedia of Social Network Analysis and Mining;;;;;;https://doi.org/10.1007/978-1-4614-6170-8_100926;;;reference/snam/X14kn;2017-07-12;;;1023;;;encyclopedia;;;Multi-relational Social Networks.;db/reference/snam/snam2014.html#X14kn;2014
45039;2869769;Andreas Ess|Luc Van Gool|Stefano Pellegrini;;Visual Analysis of Humans;;;;;books/daglib/0028268;https://doi.org/10.1007/978-0-85729-997-0_24;;;books/daglib/p/PellegriniEG11;2019-07-22;;;473-491;;;;;;Predicting Pedestrian Trajectories.;db/books/daglib/0028268.html#PellegriniEG11;2011
33945;2846647;Hien D. Tran|Phuong Anh Nguyen 0003;;Econometrics of Risk;;;;;series/sci/2015-583;https://doi.org/10.1007/978-3-319-13449-9_10;;;series/sci/TranN15;2021-07-19;;;149-160;;;;;;Towards Generalizing Bayesian Statistics: A Random Fuzzy Set Approach.;db/series/sci/sci583.html#TranN15;2015
2820;3423;Jonathan D. Victor;;Encyclopedia of Computational Neuroscience;;;;;reference/cn/2014;https://doi.org/10.1007/978-1-4614-7320-6_409-1;;;reference/cn/Victor14;2018-05-26;;;;;;encyclopedia;;;Spike Train Distance.;db/reference/cn/cn2014.html#Victor14;2014
4280;4895;Vassiliy Simchera;;International Encyclopedia of Statistical Science;;;;;reference/stat/2011;https://doi.org/10.1007/978-3-642-04898-2_635;;;reference/stat/Simchera11;2017-07-12;;;7-10;;;encyclopedia;;;Actuarial Methods.;db/reference/stat/stat2011.html#Simchera11;2011
47128;2873640;Jenny Preece;;Handbook of Research on Urban Informatics;;;;;books/igi/09/FO2009;https://doi.org/10.4018/978-1-60566-152-0.ch006;;;books/igi/09/Preece09;2019-08-16;;;87-96;;;;;;An Event-Driven Community in Washington, DC.;db/books/collections/FO2009.html#Preece09;2009
53308;2882562;Alexander Kholosha|Tor Helleseth;;Surveys in Combinatorics;;;;;books/cu/BGW2013;https://doi.org/10.1017/CBO9781139506748.004;;;books/cu/p/HellesethK13;2017-05-16;;;91-126;;;;;;Bent functions and their connections to combinatorics.;db/books/collections/BGW2013.html#HellesethK13;2013
64345;2896144;Benjamin E. Berkman|Elizabeth R. Pike|Lisa Eckstein|Zachary E. Shapiro;;Ethical Reasoning in Big Data;;;;;books/sp/CM2016;https://doi.org/10.1007/978-3-319-28422-4_5;;;books/sp/16/BerkmanSEP16;2017-05-16;;;53-69;;;;;;The Ethics of Large-Scale Genomic Research.;db/books/collections/CM2016.html#BerkmanSEP16;2016
32095;2844628;Jirakom Sirisrisakulchai|Songsak Sriboonchitta;;Robustness in Econometrics;;;;;series/sci/2017-692;https://doi.org/10.1007/978-3-319-50742-2_29;;;series/sci/SirisrisakulchaiS17;2018-04-27;;;491-500;;;;;;Effect of Helmet Use on Severity of Head Injuries Using Doubly Robust Estimators.;db/series/sci/sci692.html#SirisrisakulchaiS17;2017
13912;14572;Charalampos Z. Patrikakis;;Encyclopedia of Portal Technologies and Applications;;;;;reference/portal/2007;http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=18004;;;reference/portal/Patrikakis07;2017-07-12;;;1033-1039;;;encyclopedia;;;Ubiquitous Access to Information Through Portable, Mobile, and Handheld Devices.;db/reference/portal/portal2007.html#Patrikakis07;2007
37117;2851546;Andrea S. Atzeni|Antonio Lioy;;Quality of Protection;;;;;series/ais/23;https://doi.org/10.1007/978-0-387-36584-8_1;;;series/ais/AtzeniL06;2017-05-16;;;1-12;;;;;;Why to adopt a security metric? A brief survey.;db/series/ais/ais23.html#AtzeniL06;2006
35956;2849031;Daniel Wigdor|Tovi Grossman;;Tabletops;;;;;series/hci/MullerT10;https://doi.org/10.1007/978-1-84996-113-4_12;;;series/hci/GrossmanW10;2017-05-16;;;277-299;;;;;;On, Above, and Beyond: Taking Tabletops to the Third Dimension.;db/series/hci/MullerT10.html#GrossmanW10;2010
1243;1837;Anton Stiglic;;Encyclopedia of Cryptography and Security (2nd Ed.);;;;;reference/crypt/2011;https://doi.org/10.1007/978-1-4419-5906-5_472;;;reference/crypt/Stiglic11e;2017-07-12;;;980;;;encyclopedia;;;Probabilistic Primality Test.;db/reference/crypt/crypt2011.html#Stiglic11e;2011
37567;2852160;Herbert Edelsbrunner;;Current Trends in Theoretical Computer Science;;;;;series/wsscs/40;https://doi.org/10.1142/9789812794499_others01;;;series/wsscs/Edelsbrunner93;2017-03-13;;;1-2;;;;;;Computational Geometry.;db/series/wsscs/wsscs40.html#Edelsbrunner93;1993
34313;2847051;Davy Janssens|Geert Wets|Koen Vanhoof|Tom Brijs;;Intelligent Data Mining;;;;;series/sci/2005-5;https://doi.org/10.1007/11004011_13;;;series/sci/JanssensWBV05;2017-05-16;;;253-265;;;;;;Using an Adapted Classification Based on Associations Algorithm in an Activity-Based Transportation System.;db/series/sci/sci5.html#JanssensWBV05;2005
21006;21703;;;Encyclopedia of Social Network Analysis and Mining;;;;;;https://doi.org/10.1007/978-1-4614-6170-8_100531;;;reference/snam/X14po;2017-07-12;;;1416;;;encyclopedia;;;Probabilistic Relational Models.;db/reference/snam/snam2014.html#X14po;2014
35960;2849035;Alessandro Tognetti|Danilo De Rossi|Federico Lorussi|Nicola Carbonaro;;Smart Textiles;;;;;series/hci/Schneegass2017;https://doi.org/10.1007/978-3-319-50124-6_4;;;series/hci/LorussiCRT17;2017-10-24;;;49-70;;;;;;Strain- and Angular-Sensing Fabrics for Human Motion Analysis in Daily Life.;db/series/hci/Schneegass2017.html#LorussiCRT17;2017
25750;26451;Manoranjan Dash|Poon Wei Koot;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_613;;;reference/db/DashK09;2017-07-12;;;1119-1125;;;encyclopedia;;;Feature Selection for Clustering.;db/reference/db/f.html#DashK09;2009
16179;16849;;;Encyclopedia of Biometrics;;;;;reference/bio/2009;https://doi.org/10.1007/978-0-387-73003-5_461;;;reference/bio/X09xee;2017-07-12;;;1158;;;encyclopedia;;;Security Threat Assessment.;db/reference/bio/s.html#X09xee;2009
50407;2877550;Peter G. Neumann;;The Computer Science and Engineering Handbook;;;;;books/crc/tucker1997;;;;books/crc/tucker97/Neumann97;2017-07-09;;;1910-1913;;;encyclopedia;;;Security and Privacy Issues in Computer and Communication Systems.;db/books/collections/tucker97.html#Neumann97;1997
26038;26739;;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_2930;;;reference/db/X09xeb;2017-07-12;;;1590;;;encyclopedia;;;Knowledge-based Systems.;db/reference/db/k.html#X09xeb;2009
30209;2842528;Andrzej Stefanski|Przemyslaw Perlikowski|Tomasz Kapitaniak;0000-0001-9651-752X|0000-0002-3210-5080|0000-0003-0117-4451;Recent Advances in Nonlinear Dynamics and Synchronization;;;;;series/sci/2009-254;https://doi.org/10.1007/978-3-642-04227-0_3;;;series/sci/PerlikowskiSK09;2019-10-19;;;49-75;;;;;;Ragged Synchronizability and Clustering in a Network of Coupled Oscillators.;db/series/sci/sci254.html#PerlikowskiSK09;2009
14708;15375;Yinyu Ye;;Encyclopedia of Optimization;;;;;reference/opt/2009;https://doi.org/10.1007/978-0-387-74759-0_515;;;reference/opt/Ye09;2017-07-12;;;3008-3012;;;encyclopedia;;;Potential Reduction Methods for Linear Programming.;db/reference/opt/opt2009.html#Ye09;2009
31559;2844020;Sergei I. Zharkov|Stanley S. Ipson|Valentina V. Zharkova;;Artificial Intelligence in Recognition and Classification of Astrophysical and Medical Images;;;;;series/sci/2007-46;https://doi.org/10.1007/978-3-540-47518-7_2;;;series/sci/IpsonZZ07;2017-05-16;;;19-58;;;;;;Image Standardization and Enhancement.;db/series/sci/sci46.html#IpsonZZ07;2007
417;1011;Tom Caddy;;Encyclopedia of Cryptography and Security;;;;;reference/crypt/2005;https://doi.org/10.1007/0-387-23483-7_297;;;reference/crypt/Caddy05c;2017-07-12;;;;;;encyclopedia;;;Penetration Testing.;db/reference/crypt/crypt2005.html#Caddy05c;2005
8673;9320;;;Encyclopedia of Machine Learning and Data Mining;;;;;reference/ml/2017;https://doi.org/10.1007/978-1-4899-7687-1_100389;;;reference/ml/X17sv;2017-07-12;;;1049;;;encyclopedia;;;Radial Basis Function Approximation.;db/reference/ml/ml2017.html#X17sv;2017
48202;2875053;Anne-Nelly Perret-Clermont|Jean-François Perret|Nancy Bell;;Perspectives on socially shared cognition;;;;;books/others/91/RLT1991;https://doi.org/10.1037/10096-002;;;books/others/91/Perret-ClermontPB91;2020-05-12;;;41-62;;;;;;The social construction of meaning and cognitive activity in elementary school children.;db/books/collections/RLT1991.html#Perret-ClermontPB91;1991
8973;9620;;;Encyclopedia of Machine Learning;;;;;reference/ml/2010;https://doi.org/10.1007/978-0-387-30164-8_739;;;reference/ml/X10tf;2017-07-12;;;881;;;encyclopedia;;;Sample Complexity.;db/reference/ml/ml2010.html#X10tf;2010
63393;2894827;Sebastian Wedeniwski;;Peer-to-Peer: Ökonomische, technische und juristische Perspektiven;;;;;books/sp/Schoder2002;;;;books/sp/p2p/Wedeniwski02;2019-08-06;;;173-188;;;;;;ZetaGrid.;db/books/collections/p2p.html#Wedeniwski02;2002
48810;2875706;Jer Thorp;;Beautiful Visualization;;;;;books/oreilly/10/SI2010;;;;books/oreilly/10/Thorp10;2020-05-11;;;225-270;;;;;;This Was 1994: Data Exploration with the NYTimes Article Search API.;db/books/collections/SI2010.html#Thorp10;2010
24996;25696;Adam Wright;;Encyclopedia of Database Systems (2nd ed.);;;;;reference/db/2018;https://doi.org/10.1007/978-1-4614-8265-9_382;;;reference/db/Wright18;2019-02-14;;;;;;encyclopedia;;;Clinical Decision Support.;db/reference/db/c2.html#Wright18;2018
39598;2854997;Harish Garg;0000-0001-9099-8422;Intelligent Techniques in Engineering Management;;;;;series/isrl/87;https://doi.org/10.1007/978-3-319-17906-3_11;;;series/isrl/Garg15;2017-06-09;;;247-274;;;;;;Fuzzy Inventory Models for Deteriorating Items Under Different Types of Lead-Time Distributions.;db/series/isrl/isrl87.html#Garg15;2015
38306;2853039;Antonio Morillas|Barbara Diaz;0000-0002-5666-8769;Soft Computing in Humanities and Social Sciences;;;;;series/sfsc/SeisingG12;https://doi.org/10.1007/978-3-642-24672-2_19;;;series/sfsc/DiazM12;2017-06-09;;;347-379;;;;;;Some Experiences Applying Fuzzy Logic to Economics.;db/series/sfsc/SeisingG12.html#DiazM12;2012
57902;2887817;Arno Bohm|Nathan Harshman;;Compendium of Quantum Physics;;;;;books/sp/09/GHW2009;https://doi.org/10.1007/978-3-540-70626-7_188;;;books/sp/09/BohmH09;2019-07-19;;;660-670;;;encyclopedia;;;Rigged Hilbert Spaces and Time Asymmetric Quantum Theory.;db/books/collections/GHW2009.html#BohmH09;2009
7976;8622;;;Encyclopedia of Machine Learning and Data Mining;;;;;reference/ml/2017;https://doi.org/10.1007/978-1-4899-7687-1_100106;;;reference/ml/X17fe;2017-07-12;;;335;;;encyclopedia;;;Deduplication or Duplicate Detection (When Applied to One Database Only).;db/reference/ml/ml2017.html#X17fe;2017
3971;4582;Björn Ortelbach|Lutz Seidenfaden|Svenja Hagenhoff;;Handbook of Research on Digital Libraries;;;;;reference/dlhandbook/2009;http://www.igi-global.com/Bookstore/Chapter.aspx?TitleId=19884;;;reference/dlhandbook/HagenhoffOS09;2011-01-20;;;216-226;;;;;;A Classification Scheme for Innovative Types in Scholarly Communication.;db/reference/dlhandbook/dlhandbook2009.html#HagenhoffOS09;2009
9816;10464;;;Encyclopedia of GIS;;;;;reference/gis/2008;https://doi.org/10.1007/978-0-387-35973-1_1465;;;reference/gis/X08xsj;2017-07-12;;;1241;;;encyclopedia;;;Voronoi-Based Query Processing in Road Network Databases.;db/reference/gis/gis2008.html#X08xsj;2008
23402;24101;Dirk Van Gucht;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_1235;;;reference/db/Gucht09;2017-07-12;;;265-266;;;encyclopedia;;;BP-Completeness.;db/reference/db/b.html#Gucht09;2009
3497;4103;Carl B. Jackson;;Encyclopedia of Information Assurance;;;;;reference/tf/2011eia;https://doi.org/10.1081/E-EIA-120046818;;;reference/tf/Jackson11d;2017-07-12;;;;;;encyclopedia;;;Business Continuity Planning: Process Reengineering.;db/reference/tf/eia2011.html#Jackson11d;2011
22938;23637;;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_4018;;;reference/db/X09xxod;2017-07-12;;;3524;;;encyclopedia;;;Web Usage Mining.;db/reference/db/w.html#X09xxod;2009
30614;2842986;John Strassner|Mícheál Ó Foghlú;;Advances in Biologically Inspired Information Systems;;;;;series/sci/2007-69;https://doi.org/10.1007/978-3-540-72693-7_1;;;series/sci/FoghluS07;2017-05-16;;;3-19;;;;;;Bio-inspired Framework for Autonomic Communication Systems.;db/series/sci/sci69.html#FoghluS07;2007
16481;17152;;;Encyclopedia of Biometrics;;;;;reference/bio/2009;https://doi.org/10.1007/978-0-387-73003-5_681;;;reference/bio/X09ow;2017-07-12;;;682;;;encyclopedia;;;Hand Geometry View Record - HGVR.;db/reference/bio/h.html#X09ow;2009
40027;2855626;Carlo S. Regazzoni|Francesco A. N. Palmieri|Francesco Castaldo;0000-0001-6617-1417|0000-0003-3777-3501;Advances in Neural Networks;;;;;series/sist/37;https://doi.org/10.1007/978-3-319-18164-6_17;;;series/sist/CastaldoPR15;2022-01-03;;;175-183;;;;;;Application of Bayesian Techniques to Behavior Analysis in Maritime Environments.;db/series/sist/sist37.html#CastaldoPR15;2015
25830;26531;;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_3988;;;reference/db/X09xxne;2017-07-12;;;3456;;;encyclopedia;;;Weak Memory Consistency.;db/reference/db/w.html#X09xxne;2009
45349;2870079;Matthias Becker 0005;;Springer Handbook of Geographic Information;;;;;books/daglib/0033306;https://doi.org/10.1007/978-3-540-72680-7_8;;;books/daglib/p/Becker12;2018-01-09;;;95-117;;;;;;Geodesy.;db/books/collections/KD2012.html#Becker12;2012
58692;2888726;Emmett Kerr|Joan Condell|Nazmul H. Siddique|T. Martin McGinnity|Ulrich Nehmzow|Yiannis Gatsoulis;0000-0002-4551-1272|0000-0002-9897-4748;Intrinsically Motivated Learning in Natural and Artificial Systems;;;;;books/sp/13/BM2013;https://doi.org/10.1007/978-3-642-32375-1_8;;;books/sp/13/NehmzowGKCSM13;2019-10-19;;;185-207;;;;;;Novelty Detection as an Intrinsic Motivation for Cumulative Learning Robots.;db/books/collections/BM2013.html#NehmzowGKCSM13;2013
29305;2841442;Andrea Bondavalli|Bernhard Frömel|Francesco Brancati|Hermann Kopetz|Oliver Höftberger|Sorin M. Iacob;;Cyber-Physical Systems of Systems;;;;;series/lncs/10099;https://doi.org/10.1007/978-3-319-47590-5_3;oa;;series/lncs/KopetzBBFHI16;2018-06-26;;;73-96;;;;;;Emergence in Cyber-Physical Systems-of-Systems (CPSoSs).;db/series/lncs/lncs10099.html#KopetzBBFHI16;2016
9809;10457;Fred A. Kruse|Sandra L. Perry;;Encyclopedia of Remote Sensing;;;;;reference/gis/2014;https://doi.org/10.1007/978-0-387-36699-9_161;;;reference/gis/KruseP14;2017-07-12;;;702-718;;;encyclopedia;;;Resource Exploration.;db/reference/gis/rs2014.html#KruseP14;2014
63559;2895144;Bradley N. Miller|John T. Ried|Joseph A. Konstan;0000-0002-7788-2748;From Usenet to CoWebs;;;;;books/sp/03/LF2003;https://doi.org/10.1007/978-1-4471-0057-7_10;;;books/sp/03/MillerRK03;2020-06-15;;;206-231;;;;;;GroupLens for Usenet: Experiences in Applying Collaborative Filtering to a Social Information System.;db/books/collections/LF2003.html#MillerRK03;2003
14805;15472;Fatemeh Sayyady|Sandra Duni Eksioglu;;Encyclopedia of Optimization;;;;;reference/opt/2009;https://doi.org/10.1007/978-0-387-74759-0_158;;;reference/opt/SayyadyE09;2017-07-12;;;899-907;;;encyclopedia;;;Emergency Evacuation, Optimization Modeling.;db/reference/opt/opt2009.html#SayyadyE09;2009
5696;6325;Gunnar Jansson|Roope Raisamo;;The Universal Access Handbook;;;;;reference/crc/2009ua;https://doi.org/10.1201/9781420064995-c33;;;reference/crc/JanssonR09;2017-07-12;;;1-15;;;encyclopedia;;;Haptic Interaction.;db/reference/crc/ua2009.html#JanssonR09;2009
52319;2881191;Alexandru Mateescu;;Mathematical Aspects of Natural and Formal Languages;;;;;books/ws/94/P1994;https://doi.org/10.1142/9789814447133_0016;;;books/ws/94/Mateescu94;2019-07-19;;;275-284;;;;;;Marcus Contextual Grammars with Shuffled Contexts.;db/books/collections/P1994.html#Mateescu94;1994
10770;11418;;;Encyclopedia of GIS;;;;;reference/gis/2017;https://doi.org/10.1007/978-3-319-17885-1_101038;;;reference/gis/X17xkr;2017-07-12;;;1707;;;encyclopedia;;;Qualitative Spatiotemporal Reasoning.;db/reference/gis/gis2017.html#X17xkr;2017
3863;4472;Seunghyun Im|Zbigniew W. Ras;;Encyclopedia of Information Ethics and Security;;;;;reference/ethics/2007;http://www.igi-global.com/Bookstore/chapter.aspx?titleid=13461;;;reference/ethics/RasI07;2017-07-12;;;114-120;;;encyclopedia;;;Data Security and Chase.;db/reference/ethics/ethics2007.html#RasI07;2007
21960;22659;;;Encyclopedia of Social Network Analysis and Mining;;;;;;https://doi.org/10.1007/978-1-4614-6170-8_100414;;;reference/snam/X14ab;2017-07-12;;;60;;;encyclopedia;;;ASP.NET.;db/reference/snam/snam2014.html#X14ab;2014
34874;2847687;Kirsten Bergmann|Stefan Kopp;0000-0002-4047-9277;Human-Computer Interaction: The Agency Perspective;;;;;series/sci/2012-396;https://doi.org/10.1007/978-3-642-25691-2_12;;;series/sci/KoppB12;2018-11-02;;;287-301;;;;;;Individualized Gesture Production in Embodied Conversational Agents.;db/series/sci/sci396.html#KoppB12;2012
49088;2876004;Bas Spitters;;From sets and types to topology and analysis;;;;;books/ox/05/CS2005;;;;books/ox/05/Spitters05;2020-05-06;;;;;;;;;Approximating integrable sets by compacts constructively.;db/books/collections/CS2005.html#Spitters05;2005
57601;2887508;Sheldon Goldstein;;Compendium of Quantum Physics;;;;;books/sp/09/GHW2009;https://doi.org/10.1007/978-3-540-70626-7_151;;;books/sp/09/Goldstein09;2019-07-19;;;499-501;;;encyclopedia;;;Projection Postulate.;db/books/collections/GHW2009.html#Goldstein09;2009
52817;2881864;Hassan Sayyadi|Jan Neumann|Shahin Sefati;;Collaborative Recommendations;;;;;books/ws/18/BCT2018;https://doi.org/10.1142/9789813275355_0014;;;books/ws/18/SefatiNS18;2019-07-13;;;465-479;;;;;;TV and Movie Recommendations: The Comcast Case.;db/books/collections/BCT2018.html#SefatiNS18;2018
21500;22198;Abigail Paradise|Asaf Shabtai|Rami Puzis;;Encyclopedia of Social Network Analysis and Mining. 2nd Ed.;;;;;reference/snam/2018;https://doi.org/10.1007/978-1-4939-7131-2_110212;;;reference/snam/ParadisePS18;2019-02-17;;;;;;encyclopedia;;;Socialbots.;db/reference/snam/snam2018.html#ParadisePS18;2018
23960;24659;;;Encyclopedia of Database Systems;;;;;reference/db/2009;https://doi.org/10.1007/978-0-387-39940-9_2866;;;reference/db/X09xcm;2017-07-12;;;1538;;;encyclopedia;;;In-Memory DBMS.;db/reference/db/i.html#X09xcm;2009
14441;15107;Rubem P. Mondaini;;Encyclopedia of Optimization;;;;;reference/opt/2009;https://doi.org/10.1007/978-0-387-74759-0_644;;;reference/opt/Mondaini09;2017-07-12;;;3718-3723;;;encyclopedia;;;Steiner Ratio of Biomolecular Structures.;db/reference/opt/opt2009.html#Mondaini09;2009
